"product id","product title","product urls"
731678,"Haier 6.5 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey(HWM65-FE)","[['https://www.amazon.in/hwm65-fe/s?k=hwm65-fe'], ['https://www.flipkart.com/haier-6-5-kg-5-star-oceanus-wave-drum-washing-machine-fully-automatic-top-load-brown-grey/p/itm2c899989a92d7'], ['https://www.reliancedigital.in/haier-6-5-kg-top-loading-fully-automatic-washing-machine-with-360-waterfall-technology-707-hwm65-707nzp/p/491891863'], ['https://www.croma.com/haier-6-5-kg-5-star-fully-automatic-top-load-washing-machine-hwm65-707bknzp-magic-filter-titanium-grey-/p/234065']]"
731679,SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Heater White(WW60R20GLMA/TL),"[['https://www.samsung.com/nz/support/home-appliances/what-is-a-ceramic-heater-in-front-load-washing-machines-and-what-are-its-benefits/'], ['https://www.reliancedigital.in/samsung-6-kg-inverter-5-star-fully-automatic-front-loading-washing-machine-ww60r20glma-tl-white-hygiene-steam-3-years-warranty-/p/491959430']]"
731680,LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver(T65SKSF4Z),"[['https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T65SKSF4Z/dp/B084LF24Z8'], ['https://www.flipkart.com/lg-6-5-kg-smart-diagnosis-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f'], ['https://www.reliancedigital.in/lg-6-5-kg-top-fully-automatic-washing-machine-with-smart-inverter-technology-and-smart-diagnosis-t65sksf4z/p/491892018'], ['https://www.croma.com/lg-6-kg-5-star-inverter-fully-automatic-top-load-washing-machine-t65sksf4z-asfqeil-turbo-drum-middle-free-silver-/p/226639']]"
731681,Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-built Heater Grey(105FLIWBM5DG),"[['https://www.flipkart.com/motorola-10-5-kg-5-star-smart-wi-fi-enabled-inverter-technology-fully-automatic-front-load-in-built-heater-grey/p/itma52e4958b6324'], ['https://www.flipkart.com/motorola-7-5-kg-garment-sterilization-fully-automatic-top-load-in-built-heater-grey/p/itm8bc81f2adce49']]"
731682,SAMSUNG 8 kg 5 Star With Hygiene Steam and Digital Inverter Fully Automatic Front Load with In-built Heater White(WW80T4040CE1TL),"[['https://www.samsung.com/au/support/home-appliances/hygiene-steam/'], ['https://www.croma.com/samsung-8-kg-5-star-inverter-fully-automatic-front-load-washing-machine-ww80t4040ce1tl-diamond-drum-white-/p/250618'], ['https://www.reliancedigital.in/samsung-8-kg-5-star-inverter-fully-automatic-front-loading-washing-machine-ww80t4040ce1tl-white-hygiene-steam-3-years-warranty-/p/492864818']]"
731683,"MarQ by Flipkart 7.5 kg 5 Star Rating Semi Automatic Top Load White, Grey(MQSA755NNNDW)",[['https://www.flipkart.com/marq-flipkart-7-5-kg-5-star-rating-semi-automatic-top-load-white-grey/p/itm9311c4075cc33']]
731684,ONIDA 8 kg 5 star and In-built Basket Semi Automatic Top Load Grey(SMARTCARE 80SBXG),[['https://www.flipkart.com/onida-8-kg-5-star-in-built-basket-semi-automatic-top-load-grey/p/itm8390d10a66826']]
731685,SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load with In-built Heater Silver(WW60R20GLSS/TL),"[['https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WW60R20GLSS-TL/dp/B08DDTG2XX'], ['https://www.samsung.com/in/washers-and-dryers/washing-machines/baikal6-front-loading-6kg-silver-ww60r20glss-tl/'], ['https://www.flipkart.com/samsung-6-kg-5-star-hygiene-steam-ceramic-heater-fully-automatic-front-load-in-built-silver/p/itmbe741e42ffe68'], ['https://www.croma.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-washing-machine-ww60r20glss-tl-diamond-drum-silver-/p/250624'], ['https://www.reliancedigital.in/samsung-6-kg-inverter-5-star-fully-automatic-front-loading-washing-machine-ww60r20glss-tl-silver-hygiene-steam-3-years-warranty-/p/492864817']]"
731686,"MarQ by Flipkart 7 kg Semi Automatic Top Load Blue, White(MQSA70H5M)",[['https://www.flipkart.com/marq-flipkart-7-kg-semi-automatic-top-load-blue-white/p/itma96b6a63dbf26']]
731687,Whirlpool 7 kg with Hard Water Wash Fully Automatic Top Load Grey(WM Royal 7.0 GENX Grey 5YMW),[['https://www.flipkart.com/whirlpool-7-kg-hard-water-wash-fully-automatic-top-load-grey/p/itmda9428f9a44c8']]
731688,LG 8 kg With Steam Fully Automatic Front Load with In-built Heater Silver(FHM1408BDL),"[['https://www.amazon.in/LG-Inverter-Control-Fully-Automatic-FHM1408BDL/dp/B09LLKDWSF'], ['https://www.flipkart.com/lg-8-kg-steam-fully-automatic-front-load-in-built-heater-silver/p/itm8a3d5f6632cce'], ['https://www.croma.com/lg-8-kg-5-star-inverter-fully-automatic-front-load-washing-machine-fhm1408bdl-in-built-heater-luxury-silver-/p/257300'], ['https://www.reliancedigital.in/lg-8-kg-5-star-inverter-touch-control-fully-automatic-front-load-washing-machine-with-heater-fhm1408bdl-silver-6-motion-direct-drive-2-years-warranty-/p/492664432']]"
731689,"Haier 7 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey(HWM70-FE)",[['https://www.flipkart.com/haier-7-kg-5-star-oceanus-wave-drum-washing-machine-fully-automatic-top-load-brown-grey/p/itm70c0d26236280']]
731690,"Whirlpool 7.5 kg 5 Star, Ace Wash Station Semi Automatic Top Load Grey(ACE 7.5 SUPREME GREY DAZZLE)",[['https://www.flipkart.com/whirlpool-7-5-kg-5-star-ace-wash-station-semi-automatic-top-load-grey/p/itmb3935cfa82d51']]
731691,"LG 11 kg with Roller Jet Pulsator, Soak and Smart Filter Semi Automatic Top Load Black(P1155SKAZ)","[['https://www.amazon.in/LG-Semi-Automatic-Loading-P1155SKAZ-Pulsator/dp/B09FHRY2RF'], ['https://www.croma.com/lg-11-kg-5-star-semi-automatic-washing-machine-with-lint-filter-p1155skaz-abmqeil-new-middle-black-/p/235335'], ['https://www.vijaysales.com/lg-11-kg-semi-automatic-top-load-washing-machine-p1155skaz-middle-black/20655'], ['https://www.flipkart.com/lg-11-kg-roller-jet-pulsator-soak-smart-filter-semi-automatic-top-load-black/p/itm7108e1f496159']]"
731692,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey(MAGIC CLEAN 7.0 GENX GREY 5YMW),[['https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-grey/p/itm50fdb8ca1e478']]
731693,Panasonic 8 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey(NA-F80LF1HRB),"[['https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F80LF1HRB/dp/B08B98H8L6'], ['https://www.flipkart.com/panasonic-8-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itma9db3033e0e60']]"
731694,"IFB 8 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load with In-built Heater White(SENATOR PLUS VXS 8012)",[['https://www.flipkart.com/ifb-8-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-in-built-heater-white/p/itm19ba863e16ece']]
731695,"Singer 7 kg Semi Automatic Top Load Maroon, White(Maestroclean SM 7000 (MRN))",[]
731696,"IFB 6.5 kg 5 Star Aqua Energie,Hard Water Wash Fully Automatic Front Load with In-built Heater Silver(Elena SX 6510)",[]
731697,ONIDA 6.5 kg Washer only Red(Liliput),[['https://www.amazon.in/Toys-Games-Liliput/s?rh=n%3A1350380031%2Cp_4%3ALiliput']]
731698,"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey(SUPERB ATOM 70I GREY DAZZLE (5YR))/ SUPERB ATOM 70S GREY DAZZLE (5YR)))",[]
731699,"BOSCH 8 kg Drive Motor, Anti Tangle, Anti Vibration Fully Automatic Front Load with In-built Heater Silver(WAJ28262IN)","[['https://www.amazon.in/Bosch-1400RPM-INVERTER-Automatic-WAJ28262IN/dp/B08J3KFLBT'], ['https://www.flipkart.com/bosch-8-kg-drivemotor-antitangle-antivibration-1400rpm-fully-automatic-front-load-in-built-heater-silver/p/itma6fc00f2961d6']]"
731700,realme TechLife 6.5 kg with Fully Automatic Top Load Grey(RMFA65A5G),[['https://www.flipkart.com/realme-techlife-6-5-kg-fully-automatic-top-load-grey/p/itmc92ed1d4f80c9']]
731702,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey(MAGIC CLEAN 6.0 GENX GREY 5YMW),[['https://www.flipkart.com/whirlpool-6-kg-magic-clean-5-star-fully-automatic-top-load-grey/p/itm1696b9d86b3c2']]
731704,"ONIDA 9 kg Washer only White, Maroon(LILIPUT/W90W)",[['https://www.flipkart.com/onida-9-kg-washer-only-white-maroon/p/itmfga8j63cagyh9']]
731705,"IFB 6.5 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load White(TL-REW Aqua 6.5 kg)",[['https://www.reliancedigital.in/ifb-6-5-kg-top-loading-fully-automatic-washing-machine-with-aqua-spa-therapy-tl---rew/p/491903221']]
731706,"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White(TL-R1WH 7.0KG AQUA)",[]
